Core#  istart#  iend#  jstart#  jend#
     0      1     63      1     72
     1      1     63     73    144
     2      1     63    145    216
     3      1     63    217    287
     4      1     63    288    358
     5      1     63    359    429
     6      1     63    430    500
     7     64    126      1     72
     8     64    126     73    144
     9     64    126    145    216
    10     64    126    217    287
    11     64    126    288    358
    12     64    126    359    429
    13     64    126    430    500
    14    127    188      1     72
    15    127    188     73    144
    16    127    188    145    216
    17    127    188    217    287
    18    127    188    288    358
    19    127    188    359    429
    20    127    188    430    500
    21    189    250      1     72
    22    189    250     73    144
    23    189    250    145    216
    24    189    250    217    287
    25    189    250    288    358
    26    189    250    359    429
    27    189    250    430    500
