Core#  istart#  iend#  jstart#  jend#
     0      1    128      1    256
     1      1    128    257    512
     2      1    128    513    768
     3      1    128    769   1024
     4    129    256      1    256
     5    129    256    257    512
     6    129    256    513    768
     7    129    256    769   1024
     8    257    384      1    256
     9    257    384    257    512
    10    257    384    513    768
    11    257    384    769   1024
    12    385    512      1    256
    13    385    512    257    512
    14    385    512    513    768
    15    385    512    769   1024
